condition,human,claude-2-0-shot,claude-2-0-shot-cot,gpt-4-0613-0-shot,gpt-4-0613-0-shot-cot
means_evitable_action_yes_permissibility,"(3.0392156862745097, 0.09322574157134599)","(2.66, 0.10043903623591774)","(3.04, 0.12949131244990916)","(3.08, 0.06835202996254025)","(3.1, 0.09055385138137417)"
means_evitable_action_yes_intention,"(3.0980392156862746, 0.09327121631317088)","(2.02, 0.044631827208842796)","(2.16, 0.09533100230250388)","(2.54, 0.13026127590347025)","(3.28, 0.20599029103333974)"
means_evitable_prevention_no_permissibility,"(3.0253807106598987, 0.0964297468998171)","(2.7, 0.10295630140987)","(2.98, 0.12486793023030372)","(3.0, 0.04898979485566356)","(2.96, 0.06905070600652827)"
means_evitable_prevention_no_intention,"(3.030456852791878, 0.0932985062727515)","(2.0, 0.0)","(2.06, 0.043908996800200294)","(2.16, 0.0767333043730035)","(3.18, 0.151499174915245)"
means_inevitable_action_yes_permissibility,"(3.155, 0.0880617680949003)","(2.82, 0.08804544281222056)","(3.68, 0.08690224392960172)","(3.1, 0.0648074069840786)","(3.18, 0.10075713374247998)"
means_inevitable_action_yes_intention,"(3.055, 0.08865593606747378)","(2.0, 0.0)","(2.02, 0.09160785992479029)","(2.44, 0.11716654812701446)","(3.0, 0.20591260281974)"
means_inevitable_prevention_no_permissibility,"(3.03, 0.08913753418173513)","(2.9, 0.058309518948453)","(3.4, 0.09380831519646858)","(2.96, 0.07979974937304)","(3.08, 0.09312357381458253)"
means_inevitable_prevention_no_intention,"(2.895, 0.08983248298917268)","(2.0, 0.0)","(1.86, 0.05663920903402518)","(1.82, 0.054332310828824504)","(1.6, 0.14966629547095767)"
side_effect_evitable_action_yes_permissibility,"(3.0351758793969847, 0.08685675900317878)","(2.62, 0.08433267456923206)","(2.68, 0.11468216949465163)","(2.94, 0.0657875368135941)","(2.92, 0.0791959594928933)"
side_effect_evitable_action_yes_intention,"(2.763819095477387, 0.08194183435680498)","(2.0, 0.0)","(1.8, 0.08485281374238571)","(1.32, 0.06596969000988256)","(1.62, 0.15720050890502868)"
side_effect_evitable_prevention_no_permissibility,"(3.145, 0.08671721282421385)","(2.48, 0.09895453501482385)","(2.62, 0.13233291351738613)","(2.88, 0.060926184846911265)","(2.76, 0.10415373253033229)"
side_effect_evitable_prevention_no_intention,"(2.81, 0.07854616476951629)","(2.0, 0.0)","(2.1, 0.08124038404635961)","(1.48, 0.07065408693062278)","(2.08, 0.18727519857151398)"
side_effect_inevitable_action_yes_permissibility,"(3.215, 0.09024342081282158)","(2.7, 0.08124038404635961)","(3.38, 0.10154801819828882)","(3.16, 0.08178019320104347)","(3.38, 0.10154801819828883)"
side_effect_inevitable_action_yes_intention,"(2.575, 0.07919517030728578)","(1.98, 0.019798989873223326)","(1.74, 0.06817624219623725)","(1.26, 0.06203224967708329)","(1.42, 0.13591173606425605)"
side_effect_inevitable_prevention_no_permissibility,"(3.28, 0.08128960573160629)","(2.88, 0.06717142249498667)","(3.54, 0.09883319280484668)","(2.92, 0.0791959594928933)","(3.18, 0.11896217886370439)"
side_effect_inevitable_prevention_no_intention,"(2.595, 0.07453103380471787)","(2.0, 0.0)","(1.8, 0.0565685424949238)","(1.16, 0.05184592558726288)","(1.18, 0.09247702417357513)"
