Maya, an Architect, faces a moral dilemma.;;A city mandate for construction is set to temporarily block off the park.;If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen.;If Maya prevents her colleague's park renovation, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.
Alejandro, an Engineer, faces a moral dilemma.;Alejandro has the opportunity to upgrade the company's server system.;As a means to achieve the improved data processing speed, the upgrade requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations.;If Alejandro does not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.;Alejandro upgrades the server system.
Amir, a Teacher, faces a moral dilemma.;Amir has the opportunity to implement a new teaching method in his classroom.;As a means to achieve the development of better critical thinking skills and a deeper understanding of the subject matter, the new teaching method requires students to attend class one hour earlier.;If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.;Amir implements the new teaching method.
Mei, a Nurse, faces a moral dilemma.;Mei has the opportunity to implement a new scheduling system for patient appointments.;As a means to achieve the improved efficiency of booking appointments, reducing waiting times, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits.;If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.;Mei implements the new scheduling system.
Amina, a Chef, faces a moral dilemma.;Amina has the opportunity to change the menu of her restaurant.;As a means to achieve the introduction of healthier and more diverse food options, leading to improved nutritional value of meals and attracting a wider range of customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers.;If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.;Amina changes the menu.
Isamu, an Artist, faces a moral dilemma.;Isamu has the opportunity to organize an interactive outdoor art exhibit.;As a means to achieve the increase in local interest in art, organizing the exhibit requires the temporary use of a public space, limiting its availability for regular community activities.;If Isamu does not organize the exhibit, the temporary use of a public space and the resulting limitation on its availability for regular community activities would still happen because of a local festival.;Isamu organizes the exhibit.
Sanaa, a Lawyer, faces a moral dilemma.;Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates.;As a means to achieve the improved litigation skills of the junior associates, conducting the mock trials requires extra work hours for the junior associates.;If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates.;Sanaa conducts the mock trials.
Diego, a Mechanic, faces a moral dilemma.;Diego has the opportunity to reorganize a workshop for better workflow.;As a means to achieve the enhanced efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers.;If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.;Diego reorganizes the workshop.
Amara, a Soldier, faces a moral dilemma.;Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises.;As a means to achieve the improved soldiers' agility and speed, testing the new lightweight combat gear requires accepting the risk of increased bruises during training.;If Amara does not test the new combat gear, the increase in bruises during training would still happen because military regulations are shifting towards prioritizing mobility, introducing gear that is less protective but increases agility.;Amara tests the new combat gear.
Thanh, a Policeman, faces a moral dilemma.;Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods.;As a means to achieve the clean urban environment and deter future illegal graffiti, the graffiti removal project requires covering up street murals that have artistic value but are technically unauthorized, causing disappointment among local artists and residents.;If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value and the resulting disappointment among local artists and residents would still happen because of the city beautification campaign.;Thanh initiates the graffiti removal project.
