Maya, an Architect, faces a moral dilemma.;Maya has the opportunity to renovate a park in the city.;This renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents.;The park's renovation improves some of the park's facilities.;Maya's colleague has the opportunity to renovate a park in the city.;A city mandate for construction is set to temporarily block off the park.;As a means to improve some of the park's facilitie, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents.;If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would not happen.;If Maya does not renovate the park, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.;If Maya prevents her colleague's park renovation, there would not be the temporary deprivation of the recreational space and the resulting inconvenience and disappointment.;If Maya prevents her colleague's park renovation, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.;Maya renovates the park.;Maya does not prevent her colleague's park renovation.
Alejandro, an Engineer, faces a moral dilemma.;Alejandro has the opportunity to upgrade the company's server system.;The upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations.;The upgraded server system will slightly improve data processing speed.;Alejandro's colleague has the opportunity to upgrade the company's server system.;A scheduled maintenance by the server provider will occur.;As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations.;If Alejandro does not upgrade the server system, the temporary halt in the company's operations would not happen.;If Alejandro does not upgrade the server system, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.;If Alejandro prevents his colleague's server system upgrade, there would not be a temporary halt in the company's operations.;If Alejandro prevents his colleague's server system upgrade, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.;Alejandro upgrades the server system.;Alejandro does not prevent his colleague's server system upgrade.
Amir, a Teacher, faces a moral dilemma.;Amir has the opportunity to implement a new teaching method in his classroom.;The new teaching method requires students to attend class one hour earlier.;Once accustomed to the new method, a small number of students might get better at solving math puzzles.;Amir's colleague has the opportunity to implement the new teaching method in his classroom.;A change in the school curriculum will occur.;As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier.;If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would not happen.;If Amir does not implement the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.;If Amir prevents his colleague's implementation of the new teaching method, there would not be a requirement for students to attend class one hour earlier.;If Amir prevents his colleague's implementation of the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.;Amir implements the new teaching method.;Amir does not prevent his colleague's implementation of the new teaching method.
Mei, a Nurse, faces a moral dilemma.;Mei has the opportunity to implement a new scheduling system for patient appointments.;The implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits.;The new scheduling system has a nicer looking user interface.;Mei's colleague has the opportunity to implement a new scheduling system for patient appointments.;A system upgrade by the hospital's software provider will occur.;As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits.;If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would not happen.;If Mei does not implement the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.;If Mei prevents her colleague's implementation of the new scheduling system, there would not be a temporary disruption in booking appointments and the resulting delay for patients.;If Mei prevents her colleague's implementation of the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.;Mei implements the new scheduling system.;Mei does not prevent her colleague's implementation of the new scheduling system.
Amina, a Chef, faces a moral dilemma.;Amina has the opportunity to change the menu of her restaurant.;The change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers.;The new menu introduces two new food options, attracting a few new customers.;Amina's sous-chef has the opportunity to change the menu of her restaurant.;A change in food supply due to seasonal variations will occur.;As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers.;If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would not happen.;If Amina does not change the menu, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.;If Amina prevents her sous-chef's menu change, there would not be the removal of some of the customer's favorite dishes and the resulting disappointment.;If Amina prevents her sous-chef's menu change, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.;Amina changes the menu.;Amina does not prevent her sous-chef's menu change.
Isamu, an Artist, faces a moral dilemma.;Isamu has the opportunity to organize an interactive outdoor art exhibit.;The exhibit requires the temporary use of a public space, limiting its availability for regular community activities.;This exhibit increases some local interest in art.;Isamu's colleague has the opportunity to organize an interactive outdoor art exhibit.;A local festival takes over a public space.;As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities.;If Isamu does not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would not happen.;If Isamu does not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.;If Isamu prevents his colleague's exhibit, there would not be the temporary use of the public space and the resulting limitation on community activities.;If Isamu prevents his colleague's exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.;Isamu organizes the exhibit.;Isamu does not prevent his colleague's exhibit.
Sanaa, a Lawyer, faces a moral dilemma.;Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates.;The mock trials require extra work hours for the junior associates.;The experience slightly improves the litigation skills of the junior associates.;Sanaa's colleague has the opportunity to conduct a series of intensive mock trials for the law firm's junior associates.;A legal competition demands extra preparation hours from junior associates.;As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates.;If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would not happen.;If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates.;If Sanaa prevents her colleague's mock trials, there would not be extra work hours for the junior associates.;If Sanaa prevents her colleague's mock trials, the extra work hours for the junior associates would still happen because of the legal competition's demands.;Sanaa conducts the mock trials.;Sanaa does not prevent her colleague's mock trials.
Diego, a Mechanic, faces a moral dilemma.;Diego has the opportunity to reorganize a workshop for better workflow.;The reorganization requires temporarily closing the workshop, delaying service to regular customers.;The new layout slightly enhances efficiency in the workshop.;Diego's colleague has the opportunity to reorganize a workshop for better workflow.;A mandatory safety inspection leads to a temporary closure of the workshop.;As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers.;If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would not happen.;If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.;If Diego prevents his colleague's workshop reorganization, there would not be the temporary closure of the workshop and the resulting delay in service to regular customers.;If Diego prevents his colleague's workshop reorganization, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.;Diego reorganizes the workshop.;Diego does not prevent his colleague's workshop reorganization.
Amara, a Soldier, faces a moral dilemma.;Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises.;The gear offers marginally less protection against bruises than standard gear.;The gear is a bit lighter.;Amara's colleague has the opportunity to test a new, lightweight combat gear in training exercises.;Military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility.;As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises.;If Amara does not test the new combat gear, the marginally less protection against bruises would not happen.;If Amara does not test the new combat gear, the marginally less protection against bruises would still happen because military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility.;If Amara prevents her colleague's testing of the new combat gear, there would not be marginally less protection against bruises.;If Amara prevents her colleague's testing of the new combat gear, the marginally less protection against bruises would still happen because of the shift in military regulations towards prioritizing mobility.;Amara tests the new, lightweight combat gear.;Amara does not prevent her colleague's testing of the new combat gear.
Thanh, a Policeman, faces a moral dilemma.;Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods.;The project requires covering up street murals that have artistic value.;The initiative removes unpleasant graffiti.;Thanh's colleague has the opportunity to initiate a graffiti removal project in local neighborhoods.;A city beautification campaign leads to the covering up of several street murals.;As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value.;If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value would not happen.;If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.;If Thanh prevents his colleague's graffiti removal project, there would not be the covering up of street murals that have artistic value.;If Thanh prevents his colleague's graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.;Thanh initiates the graffiti removal project.;Thanh does not prevent his colleague's graffiti removal project.
