"","scenario_id","harm","good","causal_structure","evitability","action","mean"
"1",0,4.2,4.2,0,0,0,2.71428571428571
"2",0,4.2,4.2,0,0,1,2.31578947368421
"3",0,4.2,4.2,0,1,0,2.89473684210526
"4",0,4.2,4.2,0,1,1,2.61904761904762
"5",0,4.2,4.6,1,0,0,3.4
"6",0,4.2,4.6,1,0,1,2.8421052631579
"7",0,4.2,4.6,1,1,0,3.6
"8",0,4.2,4.6,1,1,1,3.0952380952381
"9",1,3.6,4,0,0,0,2.89473684210526
"10",1,3.6,4,0,0,1,3.33333333333333
"11",1,3.6,4,0,1,0,2.94736842105263
"12",1,3.6,4,0,1,1,2.95
"13",1,4.8,3.4,1,0,0,3.10526315789474
"14",1,4.8,3.4,1,0,1,4
"15",1,4.8,3.4,1,1,0,3.8
"16",1,4.8,3.4,1,1,1,3.78947368421053
"17",2,3,3.6,1,0,0,3.2
"18",2,3,3.6,1,0,1,2.94736842105263
"19",2,3,3.6,1,1,0,2.8421052631579
"20",2,3,3.6,1,1,1,3.28571428571429
"21",2,4,2.8,0,0,0,2.36842105263158
"22",2,4,2.8,0,0,1,2.95238095238095
"23",2,4,2.8,0,1,0,3.19047619047619
"24",2,4,2.8,0,1,1,3.35
"25",3,2,4.2,1,0,0,2.80952380952381
"26",3,2,4.2,1,0,1,3.36842105263158
"27",3,2,4.2,1,1,0,3.0952380952381
"28",3,2,4.2,1,1,1,2.76190476190476
"29",3,2.6,4,0,0,0,2.57142857142857
"30",3,2.6,4,0,0,1,2.21052631578947
"31",3,2.6,4,0,1,0,3.15
"32",3,2.6,4,0,1,1,2.63157894736842
"33",4,3,3.2,1,0,0,2.47368421052632
"34",4,3,3.2,1,0,1,3.0952380952381
"35",4,3,3.2,1,1,0,2.95238095238095
"36",4,3,3.2,1,1,1,3
"37",4,3.6,3.6,0,0,0,2.95238095238095
"38",4,3.6,3.6,0,0,1,2.42105263157895
"39",4,3.6,3.6,0,1,0,2.89473684210526
"40",4,3.6,3.6,0,1,1,3.2
"41",5,2.8,2.8,0,0,0,2.52380952380952
"42",5,2.8,2.8,0,0,1,1.89473684210526
"43",5,2.8,2.8,0,1,0,2.33333333333333
"44",5,2.8,2.8,0,1,1,2.2
"45",5,4.4,2.4,1,0,0,3.57142857142857
"46",5,4.4,2.4,1,0,1,3
"47",5,4.4,2.4,1,1,0,2.78947368421053
"48",5,4.4,2.4,1,1,1,3.57142857142857
"49",6,1.8,4,0,0,0,2.31578947368421
"50",6,1.8,4,0,0,1,2.47619047619048
"51",6,1.8,4,0,1,0,2.47619047619048
"52",6,1.8,4,0,1,1,2.52631578947368
"53",6,2.4,4.4,1,0,0,2.19047619047619
"54",6,2.4,4.4,1,0,1,2.55
"55",6,2.4,4.4,1,1,0,2.42105263157895
"56",6,2.4,4.4,1,1,1,2.21052631578947
"57",7,3.4,2.2,0,0,0,2.47368421052632
"58",7,3.4,2.2,0,0,1,2.36842105263158
"59",7,3.4,2.2,0,1,0,2.6
"60",7,3.4,2.2,0,1,1,2.47619047619048
"61",7,4,3.6,1,0,0,2.9047619047619
"62",7,4,3.6,1,0,1,2.78947368421053
"63",7,4,3.6,1,1,0,2.8421052631579
"64",7,4,3.6,1,1,1,3.33333333333333
"65",8,3.4,4,1,0,0,2.8421052631579
"66",8,3.4,4,1,0,1,3.04761904761905
"67",8,3.4,4,1,1,0,3.3
"68",8,3.4,4,1,1,1,2.9047619047619
"69",8,3.6,2.6,0,0,0,2.68421052631579
"70",8,3.6,2.6,0,0,1,3.14285714285714
"71",8,3.6,2.6,0,1,0,3.10526315789474
"72",8,3.6,2.6,0,1,1,2.63157894736842
"73",9,1.8,4,1,0,0,2.42105263157895
"74",9,1.8,4,1,0,1,2.85714285714286
"75",9,1.8,4,1,1,0,2.57894736842105
"76",9,1.8,4,1,1,1,3
"77",9,2.4,2.8,0,0,0,2.42857142857143
"78",9,2.4,2.8,0,0,1,2.47619047619048
"79",9,2.4,2.8,0,1,0,2.57142857142857
"80",9,2.4,2.8,0,1,1,3.05
